timestamp,symbol,open,high,low,close,volume
1752742980000,MSFT,505.35,505.35,505.35,505.35,392
1752744540000,MSFT,505.4,505.4,505.4,505.4,368
1752745560000,MSFT,505.51,505.51,505.49,505.49,1087
1752745920000,MSFT,505.45,505.45,505.45,505.45,416
1752748620000,MSFT,505.12,505.12,504.97,504.97,2348
1752750060000,MSFT,504.8,504.85,504.8,504.85,820
1752750180000,MSFT,504.8,504.8,504.8,504.8,160
1752751320000,MSFT,505.36,505.39,505.36,505.39,952
1752753480000,MSFT,505.33,505.33,505.33,505.33,204
1752753600000,MSFT,505.39,506.9,504.3,506.9,19055
1752753660000,MSFT,504.356,504.356,504.356,504.356,1173
1752753900000,MSFT,505.5,505.5,505.5,505.5,832
1752754020000,MSFT,505.655,505.655,505.655,505.655,308
1752754920000,MSFT,505.481,505.481,505.481,505.481,337
1752755040000,MSFT,505.25,505.25,505.25,505.25,299
1752755160000,MSFT,505.5,505.5,505.5,505.5,1519
1752755220000,MSFT,505.5,505.5,505.5,505.5,1623
1752755280000,MSFT,505.281,505.281,505.281,505.281,143
1752755400000,MSFT,505.55,505.55,505.55,505.55,627
1752755460000,MSFT,505.58,505.7,505.57,505.57,761
1752755520000,MSFT,505.57,505.57,505.57,505.57,186
1752755640000,MSFT,505.5,505.5,505.5,505.5,110
1752755700000,MSFT,505.698,505.698,505.365,505.365,662
1752755760000,MSFT,505.484,505.484,505.484,505.484,253
1752755820000,MSFT,505.7,505.7,505.6,505.6,814
1752755880000,MSFT,505.794,505.794,505.794,505.794,184
1752756000000,MSFT,506,506,505.98,505.98,694
1752756060000,MSFT,506,506,506,506,1976
1752756180000,MSFT,506.3,506.3,506.3,506.3,834
1752756300000,MSFT,506.5,506.5,506.4,506.4,1005
1752756360000,MSFT,506.2,506.4,506.2,506.4,714
1752756480000,MSFT,506.398,506.4,506.39,506.4,1887
1752756540000,MSFT,506.398,506.48,506.398,506.48,1534
1752756660000,MSFT,506.45,506.5,506.45,506.5,378
1752756720000,MSFT,506.5,506.5,506.5,506.5,832
1752756780000,MSFT,506.5,506.5,506.5,506.5,641
1752756840000,MSFT,506.785,506.785,506.785,506.785,836
1752757020000,MSFT,506.33,506.33,506.33,506.33,337
1752757200000,MSFT,506.8,506.8,506.8,506.8,1025
1752757380000,MSFT,506.36,506.66,506.36,506.66,403
1752757440000,MSFT,506.587,506.8,506.587,506.8,737
1752757560000,MSFT,506.994,507,506.557,506.557,1588
1752757860000,MSFT,506.65,506.65,506.65,506.65,610
