order_id,pnl
238420,1354.22
38750,-50475.1
246280,-10551.2
84495,-21102
107751,21102
72407,-18354
11348,-21102.2
226722,10549.7
82668,-21100.7
104737,18354
43018,-18352.2
298233,-10549.5
94993,-21099.5
228914,10549.1
298234,-25230.9
114386,18352
162610,18351
277276,-9175.5
156704,21102
93168,-21100.1
80422,-18351.8
233574,10550.9
123552,50460.5
200999,-10550.8
244282,-9174.5
293306,-10550.8
123095,21100
281422,10550.5
242639,-10550.5
194181,50460
176599,50456
248479,-25228
269770,-10542
232988,9174.03
927,-18348.3
289462,10545.9
132675,21084
289732,9173.92
218283,10546.6
97444,-21088.6
204956,-10548.5
48319,-21097
218117,25228
13476,-50456
282769,-9173.75
90954,-18347
249893,-10550
279171,9173.5
258448,-9173.5
94315,-21095
74647,-50455.3
180332,18347
176285,18346
87303,-18346
195947,21102
278959,-9173.5
139832,18346
67542,-18346
11066,-21100.8
143554,50446
116574,18347
213785,-9173
20748,-18346.2
237425,10548.3
157850,21096
131942,50445
83673,-50445
235580,9172.38
131180,21092
157086,18344
90250,-21090.5
198591,50445
4213,-18344
265263,-9171.5
153771,21091
199926,50429
216261,9184.75
257767,-25211.4
167506,18343
159003,18342
67839,-18342
62951,-21095
131778,18340
224751,-9170
120367,21090
245171,-9170.5
106563,18340
126024,21101
224956,-10550.5
156838,18339
118237,21100.5
75891,-21100.5
8548,-50394
217013,9165.66
45211,-18334.3
223833,-10550.2
275276,9165.42
51856,-18342.5
31103,-18333.6
142621,21100.5
190897,50421.5
72173,-71527.5
29154,-21100.5
215456,-9164.75
9674,-21100.9
77047,-18323
233492,10550.1
90829,-21099.1
140914,18329.5
289692,-9164.75
192844,18327.5
56536,-18327.5
11898,-21099.5
183989,18329
45787,-18329
230333,9162.85
70238,-21098.6
201492,-10548.8
168998,21097.5
221102,-10548.8
125702,21097.5
259349,-10548.8
221083,25226.5
243161,10546.1
198641,21092
227539,-10546
73598,-18320.5
12679,-21104
95691,-50447.5
81346,-21091.6
27388,-21092
177943,50444
152090,18333.5
221471,10549.4
226254,-10549.4
285404,-10548.4
195087,21096.5
197143,21096
252877,-25221.5
135813,50434
92287,-50434
206882,9164.46
270713,9164.39
29863,-21094.4
12235,-21093
242402,-10546
242131,25214.8
295686,-25214.8
189526,18327
182012,18326
232578,-9163
238255,10544.2
99276,-21082
202114,-10539.5
258313,-9162.12
272583,10543.7
284122,-10543.7
88124,-18320.5
293462,10546.9
296976,-10544.7
103677,50415.5
132452,21089.4
1491,-21093.1
94265,-50410
167766,18318
82415,-21096.1
247601,25202.2
5151,-50406.2
29142,-18320.9
174116,21096
48301,-18321
277431,-9187
194419,21098
37733,-21098
290766,-25200.2
210702,-9163.5
278766,-10549.4
253116,10549.4
5147,-21097.4
268078,-10549.4
259282,9162
263982,-10544.5
222597,-9160.75
128050,18321
5831,-18321
143905,21097.5
80504,-21097.5
296457,9154.23
190436,21093.5
94870,-21093.5
110339,21093.5
52644,-21093.5
38387,-18306
62430,-21092.8
162614,21092
212019,-9155.06
219446,10544.1
73025,-21087.1
144302,50390
249493,-25194.7
199959,21093
145411,21090.5
112072,18321.5
177774,18321
73462,-18321
73873,-21092.3
239448,-10545
85245,-21086
276167,-25194.8
47696,-50384.2
103800,18302.5
190276,21091
55642,-21087
209914,-9150.28
103762,21085
294208,-10542.5
124130,18300.5
94238,-21082
59875,-18308.3
225909,25185.4
29396,-50371.9
282979,-9148
10453,-21079
134503,21079
22477,-21081.5
33743,-21078.5
156100,21079.1
136781,50373
150468,21102
254233,-10542
148172,21093
200483,10546.8
20082,-18300
144882,18309.5
165987,50368.6
286307,25184
184417,50365
222068,-10547
299221,10546.8
18801,-18303.5
112905,21104
257298,-9152
287032,9149.18
239936,10552
262880,10551.9
48110,-50351.5
278147,-9157
181182,21103.7
254880,-10551.9
282824,10551.8
149663,21103.5
139754,50338
23014,-18315.9
246216,-9159.95
100945,21103
227119,9160.42
99993,-18317.9
18567,-21103
295785,10551.6
271333,-25165.8
244133,-9159
32940,-21103
219717,10551.5
78585,-21103
282897,10551.5
173558,21103
251204,25157.7
286268,-9154.83
39235,-18302
14754,-21103
178370,18313
190313,21102.9
211168,10551.3
213370,-10551.3
270764,-9164.2
84594,-21102
130497,18297
172003,50348
98855,-50340.8
135278,18383.5
31513,-18333.7
29623,-21102
155064,21102
31908,-21102
161936,18335.3
215294,-9167.65
123269,50343
18907,-50343
134702,18335
8721,-21102.1
32147,-21101.5
152908,21102
83790,-21096
291320,-10550.5
669,-50338
126263,21102
71960,-21102
122082,18341
33408,-18340
166850,21101
26926,-21101
110333,21101.9
12373,-21101.9
212486,-10550.5
133574,50323
154288,18340
270478,-9169.5
294789,10550.9
40941,-21101.9
194849,21101
